F,Website,Name,Type,Adress,County_seat,state,zipCode,Lat,Lon,price_room_per_night,Star,city_has_criminal_recorded_courtcase,hotspot_Paloris,strip_club_40min,# massage_parlor_nearby,identified_online_ads,recent_has_sport_event,race_white_more_than_60%,male_avg_Earning,Single_Rate,white_male,white_population,white_average,male_rate,marriage_rate,Ave_Earning
24,Hotel.com,Red Roof Inn & Suites Stafford,Motel,"153 Garrisonville Rd, Stafford, VA 22554",Stafford,VA,22554,38.469000,-77.413710,$66 ,2,0,1,1,1,0,0,1,"$74,581",43.20%,49327.34,97930,68.00%,50.37%,56.80%,"$57,312"
25,Hotel.com,"Motel 6 Falls Church, VA – Arlington Boulevard",Motel,6652 ARLINGTON BLVD,Falls Church,VA,22042,38.870160,-77.173350,$66 ,2,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417"
26,Hotel.com,The Virginia Lodge,Motel,6027 Richmond Highway,Alexandria,VA,22303,38.792480,-77.056570,$67 ,2,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582"
27,Hotel.com,Quality Inn Mt. Vernon,Motel,"7212 Richmond Hwy, Groveton ",Alexandria,VA,22306,38.761460,-77.084410,$67 ,2.5,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582"
28,Hotel.com,Best Western Potomac Mills,,14619 Potomac Mills Road,Woodbridge,VA,22192,38.628240,-77.292690,$67 ,2.5,1,1,1,1,1,0,0,"$73,750",45.70%,1139.81,2292,66.41%,49.73%,54.30%,"$55,233"
29,Hotel.com,TownePlace Suites,Condo Hotel,"6245 Brandon Ave, Springfield, VA 22150",Springfield,VA,22150,38.78254,-77.18166,$93 ,2.5,1,1,1,1,1,0,0,"$48,855",50.90%,8595.66,17510,68.00%,49.09%,49.10%,"$42,497"
30,Hotel.com,"Motel 6 Washington DC SW-Springfield, VA",Motel,"6868 Springfield Blvd, Springfield, VA, 22150, United States",Springfield,VA,22150,38.777970,-77.183070,$54 ,2,1,1,1,1,1,0,0,"$48,855",50.90%,8595.66,17510,68.00%,49.09%,49.10%,"$42,497"
32,Hotel.com,Quality Inn Tysons Corner,,"1587 Spring Hill Rd, Vienna, VA, 22182, United States",Vienna,VA,22182,38.926630,-77.243630,$79 ,3,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680"
33,Hotel.com,"Extended Stay America Washington, D.C. - Tysons Corner",,"8201 Old Courthouse Rd, Vienna, VA, 22182, United States",Vienna,VA,22182,38.918740,-77.245900,$100 ,3,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680"
34,Hotel.com,Hilton Garden Inn Tysons Corner,,"8301 Boone Blvd, Vienna, VA, 22182, United States",Vienna,VA,22182,38.916400,-77.232810,$104 ,2.5,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680"
35,Hotel.com,Wyndham Old Town Alexandria,,"1757 King St, Alexandria, VA, 22314, United States",Alexandria,VA,,38.807500,-77.058780,$60,2.5,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582"
36,Hotel.com,Vienna Wolf Trap Hotel,,"430 Maple Avenue West, Vienna, VA, 22180, United States",Vienna,VA,,38.895240,-77.272510,$56 ,2,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680"
37,Hotel.com,Extended Stay America - Washington DC - Reston,,"12190 Sunset Hills Rd, Reston, VA, 20190, United States",Reston,VA,,38.955850,-77.366430,$85 ,2.5,0,1,1,1,1,0,0,"$87,581",48.90%,21113.26,44170,73.21%,47.80%,51.10%,"$72,342"
38,Hotel.com,Best Western Fairfax,,"3535 Chain Bridge Rd, Fairfax, VA, 22030, United States",Fairfax,VA,,38.862050,-77.306550,$109 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126"
39,Hotel.com,Extended Stay America -Washington DC-Falls Church-Merrifield,,"8281 Willow Oaks Corporate Dr, Fairfax, VA, 22031, United States",Fairfax,VA,,38.863280,-77.230280,$90 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126"
40,Hotel.com,Hampton Inn & Suites Herndon-Reston,,"435 Herndon Pkwy, Herndon, VA, 20170, United States",Herndon,VA,,38.959790,-77.372780,$76 ,2.5,0,1,1,1,1,0,0,"$64,327",47.90%,6703.81,13598,55.46%,49.30%,52.10%,"$49,288"
41,Hotel.com,Holiday Inn Express Fairfax - Arlington Boulevard,,"10327 Fairfax Boulevard, Fairfax, VA, 22030, United States",Fairfax,VA,,38.859590,-77.301440,$123 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126"
42,Hotel.com,Stratford Motor Lodge,Motel,"300 W Broad St, Falls Church, VA, 22046, United States",Falls Church,VA,,38.884210,-77.173700,$79 ,2.5,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417"
43,Hotel.com,Budget Inn-Falls Church,Motel,"7155 Lee Highway, Falls Church, VA, 22048, United States",Falls Church,VA,,38.878070,-77.178450,$83 ,1.5,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417"
