,F,Website,Name,Type,Adress,County_seat,state,zipCode,Lat,Lon,price_room_per_night,Star,city_has_criminal_recorded_courtcase,hotspot_Paloris,strip_club_40min,# massage_parlor_nearby,identified_online_ads,recent_has_sport_event,race_white_more_than_60%,male_avg_Earning,Single_Rate,white_male,white_population,white_average,male_rate,marriage_rate,Ave_Earning,risk
21,22,Hotel.com,Sleep Inn Near Quantico Main Gate,,17470 Jefferson Davis Hwy,Dumfries,VA,22026.0,38.5735,-77.31727,$61 ,2.5,1,1,1,1,1,0,0,"$41,953",58.00%,1244.8,2715,51.97%,45.85%,42.00%,"$35,505",0.255146335568817
22,23,Hotel.com,Red Roof Inn PLUS+ Washington DC - Alexandria ,,"5975 Richmond Highway, Belle Haven",Alexandria,VA,22303.0,38.78781,-77.0659,$64 ,2.0,1,1,1,0,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.883051953838273
23,24,Hotel.com,Red Roof Inn & Suites Stafford,Motel,"153 Garrisonville Rd, Stafford, VA 22554",Stafford,VA,22554.0,38.469,-77.41371,$66 ,2.0,0,1,1,1,0,0,1,"$74,581",43.20%,49327.34,97930,68.00%,50.37%,56.80%,"$57,312",0.8753381625577444
24,25,Hotel.com,"Motel 6 Falls Church, VA – Arlington Boulevard",Motel,6652 ARLINGTON BLVD,Falls Church,VA,22042.0,38.87016,-77.17335,$66 ,2.0,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.34153211431468583
25,26,Hotel.com,The Virginia Lodge,Motel,6027 Richmond Highway,Alexandria,VA,22303.0,38.79248,-77.05657,$67 ,2.0,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.8830005315610218
26,27,Hotel.com,Quality Inn Mt. Vernon,Motel,"7212 Richmond Hwy, Groveton ",Alexandria,VA,22306.0,38.76146,-77.08440999999999,$67 ,2.5,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.88299245086574
27,28,Hotel.com,Best Western Potomac Mills,,14619 Potomac Mills Road,Woodbridge,VA,22192.0,38.628240000000005,-77.29269000000001,$67 ,2.5,1,1,1,1,1,0,0,"$73,750",45.70%,1139.81,2292,66.41%,49.73%,54.30%,"$55,233",0.29315210750124165
28,29,Hotel.com,TownePlace Suites,Condo Hotel,"6245 Brandon Ave, Springfield, VA 22150",Springfield,VA,22150.0,38.782540000000004,-77.18166,$93 ,2.5,1,1,1,1,1,0,0,"$48,855",50.90%,8595.66,17510,68.00%,49.09%,49.10%,"$42,497",0.5959334918486603
29,30,Hotel.com,"Motel 6 Washington DC SW-Springfield, VA",Motel,"6868 Springfield Blvd, Springfield, VA, 22150, United States",Springfield,VA,22150.0,38.77797,-77.18307,$54 ,2.0,1,1,1,1,1,0,0,"$48,855",50.90%,8595.66,17510,68.00%,49.09%,49.10%,"$42,497",0.5965466679084104
30,32,Hotel.com,Quality Inn Tysons Corner,,"1587 Spring Hill Rd, Vienna, VA, 22182, United States",Vienna,VA,22182.0,38.926629999999996,-77.24363000000001,$79 ,3.0,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680",0.32010330677477755
31,33,Hotel.com,"Extended Stay America Washington, D.C. - Tysons Corner",,"8201 Old Courthouse Rd, Vienna, VA, 22182, United States",Vienna,VA,22182.0,38.91874,-77.2459,$100 ,3.0,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680",0.32006403043658305
32,34,Hotel.com,Hilton Garden Inn Tysons Corner,,"8301 Boone Blvd, Vienna, VA, 22182, United States",Vienna,VA,22182.0,38.9164,-77.23281,$104 ,2.5,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680",0.32005892079726445
33,35,Hotel.com,Wyndham Old Town Alexandria,,"1757 King St, Alexandria, VA, 22314, United States",Alexandria,VA,,38.8075,-77.05878,$60,2.5,1,1,1,1,1,0,0,"$68,229",52.95%,46739.61,97091,62.04%,48.14%,47.05%,"$62,582",0.8830655697879697
34,36,Hotel.com,Vienna Wolf Trap Hotel,,"430 Maple Avenue West, Vienna, VA, 22180, United States",Vienna,VA,,38.89524,-77.27251,$56 ,2.0,0,1,1,1,1,0,0,"$111,817",37.70%,6299.65,12683,76.75%,49.67%,62.30%,"$90,680",0.3201511498707708
35,37,Hotel.com,Extended Stay America - Washington DC - Reston,,"12190 Sunset Hills Rd, Reston, VA, 20190, United States",Reston,VA,,38.95585,-77.36643000000001,$85 ,2.5,0,1,1,1,1,0,0,"$87,581",48.90%,21113.26,44170,73.21%,47.80%,51.10%,"$72,342",0.5912835903028008
36,38,Hotel.com,Best Western Fairfax,,"3535 Chain Bridge Rd, Fairfax, VA, 22030, United States",Fairfax,VA,,38.86205,-77.30655,$109 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.4682212814422821
37,39,Hotel.com,Extended Stay America -Washington DC-Falls Church-Merrifield,,"8281 Willow Oaks Corporate Dr, Fairfax, VA, 22031, United States",Fairfax,VA,,38.863279999999996,-77.23028000000001,$90 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.4683755537166415
38,40,Hotel.com,Hampton Inn & Suites Herndon-Reston,,"435 Herndon Pkwy, Herndon, VA, 20170, United States",Herndon,VA,,38.959790000000005,-77.37278,$76 ,2.5,0,1,1,1,1,0,0,"$64,327",47.90%,6703.81,13598,55.46%,49.30%,52.10%,"$49,288",0.38627427639525735
39,41,Hotel.com,Holiday Inn Express Fairfax - Arlington Boulevard,,"10327 Fairfax Boulevard, Fairfax, VA, 22030, United States",Fairfax,VA,,38.859590000000004,-77.30144,$123 ,2.5,1,1,1,1,1,0,0,"$67,769",45.70%,8139.96,16461,68.98%,49.45%,54.30%,"$60,126",0.46810785354872453
40,42,Hotel.com,Stratford Motor Lodge,Motel,"300 W Broad St, Falls Church, VA, 22046, United States",Falls Church,VA,,38.884209999999996,-77.1737,$79 ,2.5,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.3415008507244
41,43,Hotel.com,Budget Inn-Falls Church,Motel,"7155 Lee Highway, Falls Church, VA, 22048, United States",Falls Church,VA,,38.87807,-77.17845,$83 ,1.5,1,1,1,1,0,0,0,"$101,426",46.40%,5848.93,11726,80.16%,49.88%,53.60%,"$80,417",0.34149745530198783
42,44,Hotel.com,Comfort Inn Herndon-Reston,,"200 Elden St, Herndon, VA, 20170, United States",Herndon,VA,,38.96714,-77.36884,$103 ,2.5,0,1,1,1,1,0,0,"$64,327",47.90%,6703.81,13598,55.46%,49.30%,52.10%,"$49,288",0.3860080692432063
43,45,Hotel.com,Inns of Virginia - Falls Church,,"200 Elden St, Herndon, VA, 20170, United States",Herndon,VA,,38.96714,-77.36884,$103 ,2.5,0,1,1,1,1,0,0,"$64,327",47.90%,6703.81,13598,55.46%,49.30%,52.10%,"$49,288",0.3860080692432063
