Website,Name,Type,Star,Adress,,state,zipCode,Lat,Lon,LowestRoomPrice
Hotel.com,Red Roof Inn Warrenton,Inn,2,6 Broadview Ave,Warrenton,VA,20186,38.717830,-77.808830,$58 
Hotel.com,Super 8 by Wyndham Dumfries/Quantico,,2,17416 Jefferson Davis Hwy,Dumfries,VA,22026,38.574560,-77.316080,$60 
Hotel.com,Sleep Inn Near Quantico Main Gate,,2.5,17470 Jefferson Davis Hwy,Dumfries,VA,22026,38.573500,-77.317270,$61 
Hotel.com,Red Roof Inn PLUS+ Washington DC - Alexandria ,,2,"5975 Richmond Highway, Belle Haven",Alexandria,VA,22303,38.787810,-77.065900,$64 
Hotel.com,Red Carpet Inn,Motel,2,"25 Wico Mico Dr, I-95 Exit 143B Behind Wendy's",Stafford,VA,22554,38.469000,-77.413710,$66 
Hotel.com,"Motel 6 Falls Church, VA – Arlington Boulevard",Motel,2,6652 ARLINGTON BLVD,Falls Church,VA,22042,38.870160,-77.173350,$66 
Hotel.com,The Virginia Lodge,Motel,2,6027 Richmond Highway,Alexandria,VA,22303,38.792480,-77.056570,$67 
Hotel.com,Quality Inn Mt. Vernon,Motel,2.5,"7212 Richmond Hwy, Groveton ",Alexandria,VA,22306,38.761460,-77.084410,$67 
Hotel.com,Best Western Potomac Mills,,2.5,14619 Potomac Mills Road,Woodbridge,VA,22192,38.628240,-77.292690,$67 
Hotel.com,Best Western Springfield,,2.5,6721 Commerce St,Springfield,VA,22150,38.780390,-77.178550,$67 
Hotel.com,Days Inn by Wyndham Alexandria South,Motel,2,6100 Richmond Hwy,Alexandria,VA,22303,38.792480,-77.056570,$68 
Hotel.com,Inn of Rosslyn,Motel,2,601 Arlington Boulevard,Arlington,VA,22209,38.891410,-77.069680,$68 
Hotel.com,Days Inn by Wyndham Arlington Pentagon,,2,3030 Columbia Pike,Arlington,VA,22204,38.862030,-77.088060,$68 
